Dataset;Training release;%Training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature selection;TP;FP;TN;FN;Precision;Recall;ROC Area;Kappa
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;No sampling;Best first;1269.0;8.0;0.0;0.0;0.9937353171495693;1.0;0.5;0.0
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;No sampling;Best first;1269.0;8.0;0.0;0.0;0.9937353171495693;1.0;0.5;0.0
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;Oversampling;Best first;1046.0;1.0;7.0;223.0;0.9990448901623686;0.8242710795902285;0.8520488573680063;0.047287890596377884
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;Oversampling;Best first;1007.0;1.0;7.0;262.0;0.9990079365079365;0.793538219070134;0.9064223798266351;0.03884667668312222
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;Oversampling;Best first;1046.0;1.0;7.0;223.0;0.9990448901623686;0.8242710795902285;0.8415583136327817;0.047287890596377884
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;Undersampling;Best first;1007.0;1.0;7.0;262.0;0.9990079365079365;0.793538219070134;0.8458924349881797;0.03884667668312222
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;Undersampling;Best first;1043.0;1.0;7.0;226.0;0.9990421455938697;0.8219070133963751;0.9053881008668243;0.046541612806672905
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;Undersampling;Best first;1007.0;1.0;7.0;262.0;0.9990079365079365;0.793538219070134;0.8448581560283688;0.03884667668312222
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;SMOTE;Best first;1267.0;4.0;4.0;2.0;0.996852871754524;0.9984239558707644;0.8698778565799843;0.5691148352266323
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;SMOTE;Best first;1269.0;8.0;0.0;0.0;0.9937353171495693;1.0;0.8805161544523247;0.0
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;SMOTE;Best first;1266.0;3.0;5.0;3.0;0.9976359338061466;0.9976359338061466;0.9511426319936959;0.6226359338061463
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;No sampling;No selection;1713.0;37.0;0.0;0.0;0.9788571428571429;1.0;0.6661854498982345;0.0
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;No sampling;No selection;1713.0;37.0;0.0;0.0;0.9788571428571429;1.0;0.6661854498982345;0.0
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;No sampling;No selection;1713.0;37.0;0.0;0.0;0.9788571428571429;1.0;0.6661854498982345;0.0
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;Oversampling;No selection;1410.0;20.0;17.0;303.0;0.986013986013986;0.8231173380035026;0.7467695366119184;0.05959372452459784
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;Oversampling;No selection;1443.0;25.0;12.0;270.0;0.9829700272479565;0.8423817863397548;0.41641816948296806;0.039323981822986076
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;Oversampling;No selection;1549.0;23.0;14.0;164.0;0.9853689567430025;0.9042615294804437;0.6294551995077389;0.09867852086879401
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;Undersampling;No selection;1375.0;17.0;20.0;338.0;0.9877873563218391;0.8026853473438412;0.7559599880090248;0.06544938157946202
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;Undersampling;No selection;1464.0;25.0;12.0;249.0;0.9832102081934184;0.8546409807355516;0.4222479923005317;0.04517449709868454
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;Undersampling;No selection;1248.0;17.0;20.0;465.0;0.9865612648221344;0.7285464098073555;0.6348116943563529;0.03886692266496497
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;SMOTE;No selection;1712.0;29.0;8.0;1.0;0.9833429063756461;0.9994162288382954;0.7062921064672378;0.342385449808354
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;SMOTE;No selection;1525.0;28.0;9.0;188.0;0.9819703799098519;0.890251021599533;0.4098783547119799;0.04284896764424389
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;SMOTE;No selection;1705.0;28.0;9.0;8.0;0.9838430467397576;0.9953298307063632;0.6861914453858412;0.3243388172711857
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;No sampling;Best first;1713.0;37.0;0.0;0.0;0.9788571428571429;1.0;0.6661854498982345;0.0
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;No sampling;Best first;1713.0;37.0;0.0;0.0;0.9788571428571429;1.0;0.6661854498982345;0.0
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;No sampling;Best first;1713.0;37.0;0.0;0.0;0.9788571428571429;1.0;0.6661854498982345;0.0
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;Oversampling;Best first;1415.0;19.0;18.0;298.0;0.9867503486750349;0.8260361938120256;0.7031918082706173;0.06665253396055637
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;Oversampling;Best first;1378.0;17.0;20.0;335.0;0.9878136200716846;0.804436660828955;0.7234660229406289;0.06628469222257578
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;Oversampling;Best first;1412.0;19.0;18.0;301.0;0.986722571628232;0.8242848803269118;0.6372572221959262;0.0657230469440804
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;Undersampling;Best first;1201.0;12.0;25.0;512.0;0.9901071723000825;0.7011091652072388;0.724728230857828;0.049506510413967704
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;Undersampling;Best first;1568.0;27.0;10.0;145.0;0.9830721003134796;0.9153531815528313;0.7121298180842839;0.07250485317227946
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;Undersampling;Best first;1186.0;12.0;25.0;527.0;0.989983305509182;0.6923525977816696;0.7221485934270523;0.04712789750904607
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;RandomForest;SMOTE;Best first;1709.0;30.0;7.0;4.0;0.9827487061529615;0.9976649153531816;0.6442624761363815;0.2847354122087837
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;NaiveBayes;SMOTE;Best first;1713.0;37.0;0.0;0.0;0.9788571428571429;1.0;0.7086666351114688;0.0
STORM;2;0.7297142857142858;0.006264682850430697;0.0613107822410148;Ibk;SMOTE;Best first;1708.0;29.0;8.0;5.0;0.9833045480713875;0.997081144191477;0.78946371941118;0.3124407774619244
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;No sampling;No selection;2005.0;58.0;54.0;0.0;0.971885603490063;1.0;0.9139673138582116;0.6381473862892909
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;No sampling;No selection;1875.0;45.0;67.0;130.0;0.9765625;0.9351620947630923;0.8829577841111507;0.39268882422851564
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;No sampling;No selection;2003.0;66.0;46.0;2.0;0.9681005316578057;0.999002493765586;0.8811498040612754;0.5610669333593525
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;Oversampling;No selection;1713.0;26.0;86.0;292.0;0.9850488786659;0.8543640897755611;0.890777520484503;0.2933392676070533
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;Oversampling;No selection;1712.0;28.0;84.0;293.0;0.9839080459770115;0.8538653366583541;0.8701416102600641;0.28525240201311586
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;Oversampling;No selection;1767.0;26.0;86.0;238.0;0.9854991634132738;0.8812967581047382;0.832053794086213;0.34282179964159587
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;Undersampling;No selection;1360.0;13.0;99.0;645.0;0.9905316824471959;0.6783042394014963;0.851672158888493;0.1534552499671831
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;Undersampling;No selection;1624.0;23.0;89.0;381.0;0.9860352155434122;0.8099750623441396;0.8585032953330959;0.2409856462557261
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;Undersampling;No selection;1574.0;19.0;93.0;431.0;0.9880728185812931;0.7850374064837905;0.809093338083363;0.22488031270036013
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;SMOTE;No selection;2005.0;30.0;82.0;0.0;0.9852579852579852;1.0;0.9338239223370146;0.838120969591925
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;SMOTE;No selection;1944.0;49.0;63.0;61.0;0.9754139488208731;0.9695760598503741;0.845635910224439;0.5064598716503189
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;SMOTE;No selection;1993.0;27.0;85.0;12.0;0.9866336633663366;0.9940149625935162;0.9048784289276808;0.8037601758868618
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;No sampling;Best first;2005.0;57.0;55.0;0.0;0.972356935014549;1.0;0.831401407196295;0.6463590831694596
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;No sampling;Best first;2005.0;57.0;55.0;0.0;0.972356935014549;1.0;0.831401407196295;0.6463590831694596
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;No sampling;Best first;2005.0;57.0;55.0;0.0;0.972356935014549;1.0;0.831401407196295;0.6463590831694596
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;Oversampling;Best first;1704.0;21.0;91.0;301.0;0.9878260869565217;0.8498753117206983;0.8902409155682223;0.30381755790677734
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;Oversampling;Best first;1804.0;38.0;74.0;201.0;0.9793702497285559;0.8997506234413966;0.8683915211970075;0.3322198450795124
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;Oversampling;Best first;1779.0;27.0;85.0;226.0;0.9850498338870431;0.887281795511222;0.8450191485571785;0.3514368021389468
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;Undersampling;Best first;1504.0;15.0;97.0;501.0;0.990125082290981;0.7501246882793018;0.8827106341289633;0.20213451287617268
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;Undersampling;Best first;1751.0;37.0;75.0;254.0;0.9793064876957495;0.8733167082294264;0.8310830067687923;0.2835838079034681
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;Undersampling;Best first;1599.0;25.0;87.0;406.0;0.9846059113300493;0.7975062344139651;0.7874242964018525;0.22038308100205653
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;RandomForest;SMOTE;Best first;2005.0;32.0;80.0;0.0;0.9842906234658811;1.0;0.8995791770573566;0.8256465162246748
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;NaiveBayes;SMOTE;Best first;1988.0;53.0;59.0;17.0;0.974032337089662;0.9915211970074813;0.8685629675810473;0.6110212824039557
STORM;3;0.8266414737836562;0.021142857142857144;0.20435967302452315;Ibk;SMOTE;Best first;1995.0;28.0;84.0;10.0;0.986159169550173;0.9950124688279302;0.9138982899893124;0.8061757010066349
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;No sampling;No selection;2370.0;80.0;55.0;0.0;0.9673469387755103;1.0;0.8999374902328489;0.5653871177618747
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;No sampling;No selection;1989.0;38.0;97.0;381.0;0.981253083374445;0.839240506329114;0.8674558524769496;0.253756652127081
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;No sampling;No selection;2370.0;80.0;55.0;0.0;0.9673469387755103;1.0;0.9018502891076731;0.5653871177618747
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;Oversampling;No selection;1952.0;31.0;104.0;418.0;0.9843671205244579;0.8236286919831224;0.9039396780746992;0.252584153185212
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;Oversampling;No selection;1986.0;41.0;94.0;384.0;0.9797730636408486;0.8379746835443038;0.8235489920300046;0.24307058986637065
