Dataset;Training release;%Training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature selection;TP;FP;TN;FN;Precision;Recall;ROC Area;Kappa
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;Oversampling;Best first;155.0;35.0;254.0;48.0;0.8157894736842105;0.7635467980295566;0.8664070090510849;0.6486198113856956
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;Undersampling;Best first;154.0;33.0;256.0;49.0;0.8235294117647058;0.7586206896551724;0.9284435883887023;0.6520809258524639
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;Undersampling;Best first;174.0;63.0;226.0;29.0;0.7341772151898734;0.8571428571428571;0.8761228629382788;0.6236092401337124
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;Undersampling;Best first;148.0;29.0;260.0;55.0;0.8361581920903954;0.729064039408867;0.8819694206282919;0.640932075274983
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;SMOTE;Best first;147.0;27.0;262.0;56.0;0.8448275862068966;0.7241379310344828;0.9301055107641434;0.6444096133751306
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;SMOTE;Best first;203.0;81.0;208.0;0.0;0.7147887323943662;1.0;0.8922392486406328;0.679388576025744
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;SMOTE;Best first;146.0;26.0;263.0;57.0;0.8488372093023255;0.7192118226600985;0.8822506690302896;0.6438762339972791
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;No sampling;No selection;292.0;77.0;372.0;110.0;0.7913279132791328;0.7263681592039801;0.8868934835843056;0.5572702360583678
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;No sampling;No selection;246.0;68.0;381.0;156.0;0.7834394904458599;0.6119402985074627;0.8389095724052344;0.46582973715182435
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;No sampling;No selection;285.0;65.0;384.0;117.0;0.8142857142857143;0.7089552238805971;0.8864613458320868;0.5680347620428836
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;Oversampling;No selection;337.0;85.0;364.0;65.0;0.7985781990521327;0.8383084577114428;0.9091845893029286;0.6473133371645816
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;Oversampling;No selection;356.0;136.0;313.0;46.0;0.7235772357723578;0.8855721393034826;0.8406824452348503;0.5759283293084282
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;Oversampling;No selection;302.0;92.0;357.0;100.0;0.766497461928934;0.7512437810945274;0.7746041507385123;0.5469136487161002
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;Undersampling;No selection;345.0;76.0;373.0;57.0;0.8194774346793349;0.8582089552238806;0.9158217819588028;0.6872438786478727
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;Undersampling;No selection;378.0;258.0;191.0;24.0;0.5943396226415094;0.9402985074626866;0.8418708240534521;0.3548766915595414
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;Undersampling;No selection;316.0;88.0;361.0;86.0;0.7821782178217822;0.7860696517412935;0.7974548194439828;0.5899249494585836
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;SMOTE;No selection;340.0;50.0;399.0;62.0;0.8717948717948718;0.845771144278607;0.9398331283449124;0.7355617703200604
